order_id,user_id,user_name,user_email,product_id,product_name,qty,unit_price,total_price,shipping_fee,payment_method,status,city,is_delivered,created_at,updated_at
69e24cc80c1caa51597448b1,,,,69cd5aec180acff18c681eb5M,Quần Short Tập Luyện (Size M),11,1100000,10890000,0,COD,shipping,Đức Linh,false,2026-04-17T15:07:52.435Z,2026-05-29T04:55:08.968Z
69e24d710c1caa51597449c0,69cd608f3109fa058076dcdb,Tú Anh,tuvh462005@gmail.com,69cd5aec180acff18c681eb4M,Áo Khoác Anthem Đen (Size M),4,3200000,11815000,0,COD,delivered,Bình Thuận,true,2026-04-17T15:10:41.085Z,2026-04-24T14:55:39.824Z
69e24d710c1caa51597449c0,69cd608f3109fa058076dcdb,Tú Anh,tuvh462005@gmail.com,69cd5aec180acff18c681eb5M,Quần Short Tập Luyện (Size M),1,1100000,11815000,0,COD,delivered,Bình Thuận,true,2026-04-17T15:10:41.085Z,2026-04-24T14:55:39.824Z
69eb12438a33087332bb91ea,69cd608f3109fa058076dcdb,Tú Anh,tuvh462005@gmail.com,69cd5aec180acff18c681eb5M,Quần Short Tập Luyện (Size M),1,1100000,4420000,0,COD,delivered,Đức Linh,true,2026-04-24T06:48:35.562Z,2026-04-24T14:55:41.893Z
69eb12438a33087332bb91ea,69cd608f3109fa058076dcdb,Tú Anh,tuvh462005@gmail.com,69cd5aec180acff18c681eb4M,Áo Khoác Anthem Đen (Size M),1,3200000,4420000,0,COD,delivered,Đức Linh,true,2026-04-24T06:48:35.562Z,2026-04-24T14:55:41.893Z
69eb54f20f415f36fa0b9aa6,69cd608f3109fa058076dcdb,Tú Anh,tuvh462005@gmail.com,69eb4e49cfc4060faf2494b7,Áo Đấu thứ ba 25/26,3,2200000,6390000,0,COD,delivered,Đức Linh,true,2026-04-24T11:33:06.069Z,2026-04-24T14:55:45.341Z
69eb870f39ea4ab001875862,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b6,Áo Đấu Sân Khách 25/26,9,3000000,31400000,0,COD,delivered,Đức Linh,true,2026-04-24T15:06:55.845Z,2026-04-24T15:07:35.169Z
69eb870f39ea4ab001875862,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b7,Áo Đấu thứ ba 25/26,2,2200000,31400000,0,COD,delivered,Đức Linh,true,2026-04-24T15:06:55.845Z,2026-04-24T15:07:35.169Z
69eb8b44dd366d882a62660a,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b5,Áo đấu sân nhà,1,2500000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.956Z,2026-04-24T15:25:21.351Z
69eb8b44dd366d882a62660a,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b6,Áo Đấu Sân Khách 25/26,4,3000000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.956Z,2026-04-24T15:25:21.351Z
69eb8b44dd366d882a62660a,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b7,Áo Đấu thứ ba 25/26,1,2200000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.956Z,2026-04-24T15:25:21.351Z
69eb8b44dd366d882a62660a,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b8,Quần Short Tập Luyện,1,1100000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.956Z,2026-04-24T15:25:21.351Z
69eb8b44dd366d882a626612,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b5,Áo đấu sân nhà,1,2500000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.998Z,2026-04-24T15:25:19.327Z
69eb8b44dd366d882a626612,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b6,Áo Đấu Sân Khách 25/26,4,3000000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.998Z,2026-04-24T15:25:19.327Z
69eb8b44dd366d882a626612,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b7,Áo Đấu thứ ba 25/26,1,2200000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.998Z,2026-04-24T15:25:19.327Z
69eb8b44dd366d882a626612,69de41aec3ff4ad839eb867c,Nguyễn Văn B,tuvh123@gmail.com,69eb4e49cfc4060faf2494b8,Quần Short Tập Luyện,1,1100000,17800000,0,COD,delivered,Đức Linh,true,2026-04-24T15:24:52.998Z,2026-04-24T15:25:19.327Z
